,open,high,low,close,volume
2020-05-19,88.41999816894531,89.83999633789062,86.61000061035156,87.26000213623047,4920600
2020-05-20,89.18000030517578,91.33999633789062,88.7699966430664,90.7300033569336,5218500
2020-05-21,90.11000061035156,91.43000030517578,89.12000274658203,89.83000183105469,6241900
2020-05-22,89.70999908447266,89.94999694824219,88.20999908447266,89.33000183105469,3734500
2020-05-26,93.94000244140625,95.56999969482422,92.88999938964844,94.31999969482422,6559400
2020-05-27,100.0,101.69000244140625,96.80000305175781,101.2300033569336,11007700
2020-05-28,101.54000091552734,102.45999908447266,98.01000213623047,98.05999755859375,9268200
2020-05-29,95.5,97.11000061035156,94.66000366210938,95.06999969482422,7710900
2020-06-01,95.55999755859375,98.06999969482422,94.55999755859375,96.75,4269500
2020-06-02,98.5999984741211,100.48999786376953,98.16999816894531,99.06999969482422,5433800
2020-06-03,102.77999877929688,105.87000274658203,101.62999725341797,105.4000015258789,7301000
2020-06-04,103.47000122070312,107.43000030517578,103.2300033569336,106.54000091552734,5841600
2020-06-05,114.11000061035156,115.93000030517578,108.06999969482422,109.7300033569336,10097600
2020-06-08,111.91000366210938,113.70999908447266,110.63999938964844,113.66999816894531,6795200
2020-06-09,110.08000183105469,111.80000305175781,108.66999816894531,110.45999908447266,5517400
2020-06-10,110.0,110.33000183105469,105.95999908447266,106.16000366210938,5747400
2020-06-11,100.87000274658203,102.98999786376953,98.12999725341797,98.5999984741211,8601200
2020-06-12,103.20999908447266,103.5,98.08000183105469,101.68000030517578,7251100
2020-06-15,100.0,104.73999786376953,97.62000274658203,103.94999694824219,6472400
2020-06-16,109.0199966430664,109.05999755859375,102.86000061035156,105.62000274658203,6706000
2020-06-17,105.66999816894531,106.12000274658203,103.83000183105469,103.95999908447266,4408200
2020-06-18,102.13999938964844,103.48999786376953,101.2699966430664,102.16000366210938,3645700
2020-06-19,104.2300033569336,104.2300033569336,99.31999969482422,100.94000244140625,7589500
2020-06-22,98.0,100.5,97.94999694824219,99.44000244140625,4799900
2020-06-23,100.94000244140625,101.6500015258789,99.25,99.41999816894531,4364800
2020-06-24,97.6500015258789,98.2699966430664,95.0,95.4800033569336,5958300
2020-06-25,94.61000061035156,98.12000274658203,93.76000213623047,97.8499984741211,5195400
2020-06-26,95.93000030517578,96.30000305175781,92.44999694824219,93.41999816894531,10489400
2020-06-29,94.44000244140625,95.41000366210938,93.33999633789062,94.5199966430664,4962400
2020-06-30,94.16000366210938,95.5999984741211,93.56999969482422,95.19999694824219,4367100
2020-07-01,95.25,96.95999908447266,93.63999938964844,94.05000305175781,3301000
2020-07-02,96.7699966430664,97.29000091552734,93.8499984741211,94.33000183105469,4239700
2020-07-06,96.51000213623047,97.9000015258789,95.83999633789062,96.58000183105469,4059600
2020-07-07,95.44000244140625,95.5199966430664,92.62999725341797,93.01000213623047,5564200
2020-07-08,91.97000122070312,93.0999984741211,90.70999908447266,92.9000015258789,6382100
2020-07-09,92.51000213623047,93.20999908447266,89.58000183105469,90.56999969482422,4484500
2020-07-10,90.31999969482422,93.30999755859375,89.81999969482422,93.2300033569336,4400900
2020-07-13,94.23999786376953,95.76000213623047,92.77999877929688,93.55999755859375,4819700
2020-07-14,93.19000244140625,95.22000122070312,92.29000091552734,94.83999633789062,4044400
2020-07-15,96.66000366210938,97.77999877929688,96.38999938964844,97.36000061035156,5405600
2020-07-16,96.5,97.79000091552734,95.66999816894531,96.31999969482422,2666000
2020-07-17,96.3499984741211,96.52999877929688,95.01000213623047,95.18000030517578,2861600
2020-07-20,94.80000305175781,95.36000061035156,93.58000183105469,94.0,3560100
2020-07-21,95.25,97.45999908447266,94.7300033569336,96.33000183105469,4227100
2020-07-22,95.80999755859375,97.41000366210938,95.37999725341797,96.54000091552734,4360300
2020-07-23,95.51000213623047,97.77999877929688,95.51000213623047,96.66999816894531,4239800
2020-07-24,95.30000305175781,97.1500015258789,93.30000305175781,95.33000183105469,4790300
2020-07-27,94.63999938964844,95.9800033569336,93.63999938964844,95.79000091552734,3501800
2020-07-28,95.76000213623047,96.29000091552734,94.18000030517578,94.41999816894531,3567400
2020-07-29,94.70999908447266,96.75,94.44000244140625,96.69000244140625,2791700
2020-07-30,94.68000030517578,94.77999877929688,92.5,94.6500015258789,3856300
2020-07-31,94.30999755859375,94.44999694824219,92.2300033569336,93.31999969482422,4088200
2020-08-03,93.30999755859375,94.4000015258789,92.44000244140625,93.54000091552734,2869000
2020-08-04,93.48999786376953,93.80000305175781,92.48999786376953,93.19000244140625,2415100
2020-08-05,93.81999969482422,95.58000183105469,93.80999755859375,95.38999938964844,2844900
2020-08-06,95.18000030517578,96.2699966430664,94.4800033569336,95.91999816894531,2698800
2020-08-07,95.29000091552734,99.30000305175781,94.94999694824219,99.16000366210938,4690700
2020-08-10,99.48999786376953,102.6500015258789,99.26000213623047,101.62000274658203,5254800
2020-08-11,103.98999786376953,105.69999694824219,102.95999908447266,103.26000213623047,4744000
2020-08-12,104.76000213623047,104.80000305175781,100.68000030517578,101.68000030517578,3407800
2020-08-13,100.52999877929688,101.83000183105469,99.5,100.41999816894531,3265400
2020-08-14,99.66000366210938,101.29000091552734,99.2699966430664,100.41000366210938,1956500
