Date,Open,High,Low,Close,Adj Close,Volume
2018-6-1,99.339996,99.610001,98.220001,98.25,94.120537,2711200
2018-6-4,98.809998,99.510002,98.639999,99.449997,95.270088,2417400
2018-6-5,99.120003,99.410004,98.43,99.309998,95.135979,1811500
2018-6-6,100,101,99.57,100.970001,96.726196,2872700
2018-6-7,101.440002,102.389999,100.889999,101.480003,97.214767,4245700
2018-6-8,101.290001,101.300003,99.589996,101,96.754951,3580500
2018-6-11,101.18,101.669998,100.790001,101.199997,96.946526,3453000
2018-6-12,101.5,101.5,100.239998,100.730003,96.496284,2426100
2018-6-13,100.870003,100.879997,99.959999,100.019997,95.816124,3183800
2018-6-14,100.519997,101.099998,99.510002,99.760002,95.567062,3285500
2018-6-15,99.220001,99.269997,97.309998,98.519997,94.379181,6741200
2018-6-18,97.849998,98.550003,97.309998,98.470001,94.331276,3621300
2018-6-19,97.139999,97.93,96.620003,97.139999,93.057175,3119600
2018-6-20,97.699997,97.889999,96.360001,96.419998,92.367439,4495300
2018-6-21,96.160004,96.959999,95.760002,96.629997,92.568611,3350700
2018-6-22,97.349998,97.959999,97.07,97.230003,93.143417,7235400
2018-6-25,97.050003,100.099998,95.650002,98.540001,94.398338,7996700
2018-6-26,99.5,99.830002,98.07,98.209999,94.082199,5166100
2018-6-27,98.43,99.410004,96.93,96.959999,92.884743,3693700
2018-6-28,97.010002,97.449997,96.57,96.970001,92.894318,3142300
2018-6-29,98.129997,99.480003,97.650002,98,93.881042,4698500
2018-7-2,97.400002,99.040001,97.160004,99,94.839005,3148700
2018-7-3,99.309998,99.309998,97.720001,97.839996,93.72776,2041200
2018-7-5,98.349998,98.629997,97.629997,98.529999,94.727631,2385500
2018-7-6,98.459999,99.029999,98.199997,98.519997,94.71801,1996600
2018-7-9,99.260002,100.010002,99.080002,99.910004,96.054367,4991700
2018-7-10,99.910004,100.470001,99.57,99.910004,96.054367,4675500
2018-7-11,99.660004,100.800003,99.660004,100.300003,96.429321,3469600
2018-7-12,101.029999,101.330002,100.599998,101.150002,97.246506,3688800
2018-7-13,101.080002,101.150002,99.620003,100.5,96.621605,3456500
2018-7-16,100.599998,100.879997,100.07,100.690002,96.804276,3264800
2018-7-17,100.779999,101.459999,100.650002,101.150002,97.246506,3092200
2018-7-18,101.550003,103.07,101.419998,102.980003,99.005898,5923800
2018-7-19,100.199997,101.370003,99.279999,100.169998,96.304329,7171100
2018-7-20,100.129997,101.300003,99.980003,100.150002,96.285103,3325500
2018-7-23,100.150002,101.400002,100.010002,101.220001,97.313805,2617900
2018-7-24,101.459999,102.089996,101.169998,101.709999,97.784889,3155100
2018-7-25,101.230003,102.779999,101.080002,102.629997,98.669395,2549400
2018-7-26,102.839996,103.150002,102.360001,102.5,98.544403,2744000
2018-7-27,102.870003,104.239998,102.669998,103.849998,99.842308,3815800
2018-7-30,102.730003,103.110001,100.349998,100.849998,96.958092,4423000
2018-7-31,101.050003,101.199997,99.440002,99.519997,95.67942,4330400
2018-8-1,99.900002,100.93,99.169998,99.449997,95.612122,3315400
2018-8-2,98.900002,99.93,98.669998,99.730003,95.881317,2481800
2018-8-3,99.959999,100.900002,99.699997,100.790001,96.900414,1830400
2018-8-6,100.769997,101.32,100.400002,100.919998,97.025391,2004600
2018-8-7,101.489998,102.75,101.370003,101.970001,98.034859,1852800
2018-8-8,102,102.949997,101.809998,102.779999,98.813614,2228900
2018-8-9,102.440002,103.32,102.279999,102.989998,99.015511,2435500
2018-8-10,102.089996,102.199997,101.169998,101.580002,97.659927,2473800
2018-8-13,101.480003,102.300003,101.400002,101.809998,97.881042,3389200
2018-8-14,101.93,102.599998,101.830002,102.18,98.236771,2327100
2018-8-15,101.57,101.93,100.839996,101.510002,97.592628,2219600
2018-8-16,101.900002,103.139999,101.870003,102.650002,98.688637,2290400
2018-8-17,102.629997,103.309998,102.059998,103.029999,99.053963,1950800
2018-8-20,103.019997,103.970001,102.93,103.830002,99.823097,2267900
2018-8-21,103.919998,105.25,103.760002,104.809998,100.765274,3218400
2018-8-22,104.900002,106.260002,104.510002,105.830002,101.745903,2761300
2018-8-23,105.540001,106.019997,105.160004,105.370003,101.303658,1866800
2018-8-24,105.910004,106.339996,105.449997,105.760002,101.678619,1844000
2018-8-27,106.790001,107.330002,106.279999,107.050003,102.918839,1972000
2018-8-28,107.059998,107.43,106.68,107.279999,103.139946,2275000
2018-8-29,107.040001,107.309998,105.889999,106.709999,102.591957,1896200
2018-8-30,106.599998,106.669998,105.970001,106.230003,102.13047,1868300
2018-8-31,105.519997,106.400002,105.300003,105.980003,101.890129,2115500
2018-9-4,106.349998,107.269997,105.580002,107.010002,102.880371,2941800
2018-9-5,107,107.25,104.879997,105.68,101.6017,5511800
2018-9-6,105.5,105.870003,104.550003,105.400002,101.33252,3623900
2018-9-7,105.639999,106.349998,105.349998,106.080002,101.986267,2498400
2018-9-10,106.559998,107.800003,106.559998,107.290001,103.149574,3337000
2018-9-11,106.709999,108.470001,106.470001,108.309998,104.130203,2795800
2018-9-12,108.309998,108.690002,107.660004,107.879997,103.716789,4103100
2018-9-13,108.199997,109.190002,107.93,108.660004,104.466705,3429600
2018-9-14,108.839996,110.010002,108.839996,109.559998,105.331955,2999800
2018-9-17,110.209999,110.239998,108.940002,109.199997,104.985855,2383100
